Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Autumn     ,Odisha,25621.0,6487.0,1496.6,2438350.57,7942.51,0.202777778
Arhar/Tur,1997,Summer     ,Odisha,86559.0,16414.0,1496.6,8237820.03,26833.29,0.216785714
Arhar/Tur,1997,Winter     ,Odisha,116553.0,23305.0,1496.6,11092349.01,36131.43,0.198928571
Groundnut,1997,Autumn     ,Odisha,37462.0,34433.0,1496.6,3565258.54,11613.22,0.840434783
Groundnut,1997,Summer     ,Odisha,39729.0,48815.0,1496.6,3781008.93,12315.99,1.211071429
Groundnut,1997,Winter     ,Odisha,8157.0,8905.0,1496.6,776301.69,2528.67,0.884782609
Horse-gram,1997,Summer     ,Odisha,952.0,253.0,1496.6,90601.84,295.12,0.274444444
Horse-gram,1997,Winter     ,Odisha,114779.0,32809.0,1496.6,10923517.43,35581.49,0.303448276
Jute,1997,Autumn     ,Odisha,92010.0,123210.0,1496.6,8756591.7,28523.1,1.215
Maize,1997,Autumn     ,Odisha,51349.0,63331.0,1496.6,4886884.33,15918.19,0.812
Maize,1997,Summer     ,Odisha,1164.0,978.0,1496.6,110777.88,360.84,0.945714286
Maize,1997,Winter     ,Odisha,144.0,136.0,1496.6,13704.48,44.64,0.9925
Potato,1997,Whole Year ,Odisha,8887.0,87413.0,1496.6,845775.79,2754.97,8.774
Ragi,1997,Autumn     ,Odisha,41987.0,26885.0,1496.6,3995902.79,13015.97,0.464615385
Ragi,1997,Summer     ,Odisha,603.0,429.0,1496.6,57387.51,186.93,0.576153846
Ragi,1997,Winter     ,Odisha,37191.0,19693.0,1496.6,3539467.47,11529.21,0.488125
Sesamum,1997,Autumn     ,Odisha,7286.0,1626.0,1496.6,693408.62,2258.66,0.212352941
Sesamum,1997,Summer     ,Odisha,16106.0,4065.0,1496.6,1532808.02,4992.86,0.259583333
Sesamum,1997,Winter     ,Odisha,48551.0,8316.0,1496.6,4620598.67,15050.81,0.17
Sugarcane,1997,Winter     ,Odisha,18682.0,1144012.0,1496.6,1777965.94,5791.42,55.64206897
Urad,1997,Autumn     ,Odisha,32111.0,8536.0,1496.6,3056003.87,9954.41,0.233181818
Urad,1997,Summer     ,Odisha,2077.0,480.0,1496.6,197668.09,643.87,0.277826087
Urad,1997,Winter     ,Odisha,118618.0,38610.0,1496.6,11288875.06,36771.58,0.261333333
Wheat,1997,Rabi       ,Odisha,5162.0,6360.0,1496.6,491267.54,1600.22,0.856666667
Groundnut,1998,Autumn     ,Odisha,32001.0,27051.0,1357.1,3161698.8,9280.29,0.742608696
Groundnut,1998,Summer     ,Odisha,45581.0,39912.0,1357.1,4503402.8,13218.49,1.031
Groundnut,1998,Winter     ,Odisha,5987.0,5184.0,1357.1,591515.6,1736.23,0.94
Horse-gram,1998,Summer     ,Odisha,528.0,81.0,1357.1,52166.4,153.12,0.105714286
Horse-gram,1998,Winter     ,Odisha,96407.0,23838.0,1357.1,9525011.6,27958.03,0.250666667
Jute,1998,Autumn     ,Odisha,5313.0,41593.0,1357.1,524924.4,1540.77,6.449090909
Maize,1998,Autumn     ,Odisha,50230.0,65866.0,1357.1,4962724.0,14566.7,0.838846154
Maize,1998,Summer     ,Odisha,276.0,240.0,1357.1,27268.8,80.04,0.94125
Maize,1998,Winter     ,Odisha,417.0,247.0,1357.1,41199.6,120.93,0.717142857
